"GPOName","Trustee","TrusteeSID","Permission","Inherited","Denied"
"Dev Workstation Policy","Authenticated Users","S-1-5-11","GpoApply","False","False"
"Dev Workstation Policy","Domain Admins","S-1-5-21-2616147534-2147895342-65574274-512","GpoEditDeleteModifySecurity","False","False"
"Dev Workstation Policy","Enterprise Admins","S-1-5-21-2616147534-2147895342-65574274-519","GpoEditDeleteModifySecurity","False","False"
"Dev Workstation Policy","ENTERPRISE DOMAIN CONTROLLERS","S-1-5-9","GpoRead","False","False"
"Dev Workstation Policy","SYSTEM","S-1-5-18","GpoEditDeleteModifySecurity","False","False"
"Default Domain Policy","Domain Admins","S-1-5-21-2616147534-2147895342-65574274-512","GpoCustom","False","False"
"Default Domain Policy","Enterprise Admins","S-1-5-21-2616147534-2147895342-65574274-519","GpoCustom","False","False"
"Default Domain Policy","SYSTEM","S-1-5-18","GpoEditDeleteModifySecurity","False","False"
"Default Domain Policy","Authenticated Users","S-1-5-11","GpoApply","False","False"
"Default Domain Policy","ENTERPRISE DOMAIN CONTROLLERS","S-1-5-9","GpoRead","False","False"
"Default Domain Controllers Policy","Domain Admins","S-1-5-21-2616147534-2147895342-65574274-512","GpoCustom","False","False"
"Default Domain Controllers Policy","Enterprise Admins","S-1-5-21-2616147534-2147895342-65574274-519","GpoCustom","False","False"
"Default Domain Controllers Policy","SYSTEM","S-1-5-18","GpoEditDeleteModifySecurity","False","False"
"Default Domain Controllers Policy","Authenticated Users","S-1-5-11","GpoApply","False","False"
"Default Domain Controllers Policy","ENTERPRISE DOMAIN CONTROLLERS","S-1-5-9","GpoRead","False","False"
